date,portfolio_value,top_k_stocks,turnover,transaction_cost,predicted_mean
2024-07-01,993060.9400000001,"['JYOTHYLAB', 'WOCKPHARMA', 'WIPRO', 'KAJARIACER', 'UNOMINDA', 'CASTROLIND', 'BSOFT', 'REDINGTON', 'CRISIL', 'TCS', 'HINDUNILVR', 'LTIM', 'BAJAJHLDNG', 'JBMA', 'TECHM', 'SUNDRMFAST', 'EMAMILTD', 'MPHASIS', 'SONATSOFTW', 'ALOKINDS']",1.0,0.00693906,0.047860849648714066
2024-07-08,1008351.6299960996,"['DABUR', 'OLECTRA', 'TATACONSUM', 'RCF', 'JINDALSAW', 'ONGC', 'JBMA', 'GESHIP', 'EMAMILTD', 'GMRAIRPORT', 'GAIL', 'GILLETTE', 'BEL', 'PGHH', 'FACT', 'ITC', 'IFCI', 'GMDCLTD', 'EIDPARRY', 'GODREJCP']",1.7999999999999998,0.012490307999999999,0.03147159144282341
2024-07-15,960447.2968856068,"['KSB', 'IOB', 'ESCORTS', 'IDEA', 'LICHSGFIN', 'MAHABANK', 'CASTROLIND', 'SHRIRAMFIN', 'UCOBANK', 'CRISIL', 'IDBI', 'GODFRYPHLP', 'GAIL', 'GILLETTE', 'YESBANK', 'NLCINDIA', 'J&KBANK', 'IFCI', 'BAJAJ-AUTO', 'CANBK']",1.7000000000000002,0.011796402000000003,0.05706443637609482
2024-07-23,1082112.8825643484,"['KAJARIACER', 'NCC', 'UNOMINDA', 'DABUR', 'ASAHIINDIA', 'IPCALAB', 'TATACONSUM', 'PFIZER', 'ASTRAZEN', 'RAMCOCEM', 'AJANTPHARM', 'TITAN', 'BATAINDIA', 'SUNDARMFIN', 'PGHH', 'GLAXO', 'ITC', 'COLPAL', 'TORNTPHARM', 'GODREJCP']",2.0,0.01387812,0.051029007881879807
2024-07-30,1063569.6134214327,"['KAJARIACER', 'IOC', 'GRANULES', 'HINDPETRO', 'JKCEMENT', 'DEEPAKFERT', 'ASIANPAINT', 'NAVINFLUOR', 'AARTIIND', 'TRIDENT', 'BERGEPAINT', 'HFCL', 'GSPL', 'HEG', 'CHAMBLFERT', 'PCBL', 'MOTILALOFS', 'BAJAJFINSV', 'NTPC', 'MAHSEAMLES']",1.9000000000000001,0.013184214000000001,0.05215754359960556
2024-08-06,1028262.2910586713,"['GPIL', 'JYOTHYLAB', 'VTL', 'ASAHIINDIA', 'LTIM', 'IPCALAB', 'BRITANNIA', 'PFIZER', 'ASTRAZEN', 'TRIDENT', 'GESHIP', 'EMAMILTD', 'HSCL', 'ECLERX', 'WELSPUNLIV', 'KPRMILL', 'NAVA', 'SONATSOFTW', 'LT', 'TORNTPHARM']",1.9000000000000001,0.013184214000000001,0.04182403162121773
2024-08-13,1020142.8284802173,"['AUROPHARMA', 'DRREDDY', 'MARICO', 'OLECTRA', 'LTIM', 'IPCALAB', 'THERMAX', 'TVSMOTOR', 'SUNTV', 'FORTIS', 'JBMA', 'GESHIP', 'PRAJIND', 'APOLLOHOSP', 'BALRAMCHIN', 'AJANTPHARM', 'TITAN', 'KEI', 'TRIVENI', 'BLUESTARCO']",1.7,0.011796402000000001,0.012788581661880016
2024-08-21,1082401.8118527988,"['CASTROLIND', 'DABUR', 'DEEPAKFERT', 'NATCOPHARM', 'ABREL', 'HFCL', 'DIVISLAB', 'CHAMBLFERT', 'AJANTPHARM', 'WELSPUNLIV', 'GILLETTE', 'PCBL', 'MOTILALOFS', 'CESC', 'GLAXO', 'ALOKINDS', 'MAHSEAMLES', 'TIMKEN', 'MRF', 'PATANJALI']",1.9000000000000004,0.013184214000000003,0.05731037259101868
2024-08-28,1071481.2966560568,"['KSB', 'WIPRO', 'COFORGE', 'IOC', 'GRANULES', 'LTIM', 'TRENT', 'INDIANB', 'JBMA', 'MAHSCOOTER', 'BAJFINANCE', 'MPHASIS', 'DIVISLAB', 'BALRAMCHIN', 'AJANTPHARM', 'WELSPUNLIV', 'ENGINERSIN', 'IFCI', 'INDUSINDBK', 'TORNTPHARM']",1.7000000000000002,0.011796402000000003,0.034875720739364624
2024-09-04,1029139.9630394762,"['LUPIN', 'KAJARIACER', 'CHOLAHLDNG', 'GRANULES', 'JMFINANCIL', 'DEEPAKFERT', 'HINDUNILVR', 'BAJAJHLDNG', 'RPOWER', 'PFIZER', 'ASIANPAINT', 'APARINDS', 'BERGEPAINT', 'CCL', 'CERA', 'BIOCON', 'JKTYRE', 'ALKYLAMINE', 'BEML', 'RKFORGE']",1.9000000000000001,0.013184214000000001,0.05239603668451309
