date,stock_symbol,action,predicted_return,actual_return,weight,cost,pnl
2024-07-01,JBMA,BUY,0.07003259658813477,0.013996124267578125,0.05,0.00034695300000000005,0.0
2024-07-01,TECHM,BUY,0.050305821001529694,-0.009459316730499268,0.05,0.00034695300000000005,0.0
2024-07-01,PATANJALI,BUY,0.038316745311021805,-0.06667053699493408,0.05,0.00034695300000000005,0.0
2024-07-01,AMBUJACEM,BUY,0.040202464908361435,-0.021450698375701904,0.05,0.00034695300000000005,0.0
2024-07-01,CRISIL,BUY,0.04232151061296463,-0.04246169328689575,0.05,0.00034695300000000005,0.0
2024-07-01,TCS,BUY,0.041681304574012756,-0.002153337001800537,0.05,0.00034695300000000005,0.0
2024-07-01,JYOTHYLAB,BUY,0.04038168862462044,0.09965753555297852,0.05,0.00034695300000000005,0.0
2024-07-01,WOCKPHARMA,BUY,0.05768943950533867,0.056490421295166016,0.05,0.00034695300000000005,0.0
2024-07-01,LTIM,BUY,0.03412832319736481,-0.00817418098449707,0.05,0.00034695300000000005,0.0
2024-07-01,BAJAJHLDNG,BUY,0.04732634499669075,0.12937390804290771,0.05,0.00034695300000000005,0.0
2024-07-01,EMAMILTD,BUY,0.043275412172079086,0.04761910438537598,0.05,0.00034695300000000005,0.0
2024-07-01,KAJARIACER,BUY,0.039699483662843704,-0.04698866605758667,0.05,0.00034695300000000005,0.0
2024-07-01,VTL,BUY,0.035332437604665756,0.0401606559753418,0.05,0.00034695300000000005,0.0
2024-07-01,SONATSOFTW,BUY,0.04642002657055855,0.017628073692321777,0.05,0.00034695300000000005,0.0
2024-07-01,ALOKINDS,BUY,0.051364965736866,-0.04692286252975464,0.05,0.00034695300000000005,0.0
2024-07-01,MPHASIS,BUY,0.038992393761873245,0.039426565170288086,0.05,0.00034695300000000005,0.0
2024-07-01,UNOMINDA,BUY,0.04677896201610565,-0.01563209295272827,0.05,0.00034695300000000005,0.0
2024-07-01,CASTROLIND,BUY,0.05920005962252617,0.16284406185150146,0.05,0.00034695300000000005,0.0
2024-07-01,BSOFT,BUY,0.06997435539960861,-0.01729506254196167,0.05,0.00034695300000000005,0.0
2024-07-01,REDINGTON,BUY,0.054933127015829086,-0.0336650013923645,0.05,0.00034695300000000005,0.0
2024-07-08,3MINDIA,BUY,0.0211687870323658,-0.00777965784072876,0.05,0.0006245154000000001,0.0
2024-07-08,ITC,BUY,0.03905355557799339,0.03541111946105957,0.05,0.0006245154000000001,0.0
2024-07-08,GMRAIRPORT,BUY,0.021231375634670258,-0.016064226627349854,0.05,0.0006245154000000001,0.0
2024-07-08,EIDPARRY,BUY,0.022493550553917885,0.012917280197143555,0.05,0.0006245154000000001,0.0
2024-07-08,IFCI,BUY,0.0271266121417284,0.17825675010681152,0.05,0.0006245154000000001,0.0
2024-07-08,BATAINDIA,BUY,0.02167419157922268,-0.00782477855682373,0.05,0.0006245154000000001,0.0
2024-07-08,GODREJCP,BUY,0.045906033366918564,-0.0007287859916687012,0.05,0.0006245154000000001,0.0
2024-07-08,GAIL,BUY,0.02496783249080181,0.02288818359375,0.05,0.0006245154000000001,0.0
