Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,90.46318054199219,91.24303105865276,89.04968893014055,89.43961790710917,1081685,89.43961790710917
2015-01-02,90.7068862915039,91.24303213353471,89.87828441670558,91.09680783578932,1407172,91.09680783578932
2015-01-05,93.14393615722656,94.7523811728767,89.97577516463079,91.14555471006307,1766426,91.14555471006307
2015-01-06,91.3892593383789,93.82630625406901,90.02451157813705,92.21785380225815,2105892,92.21785380225815
2015-01-07,92.85148620605469,93.33889558246443,89.53710095901312,90.99932908824232,1214774,90.99932908824232
2015-01-08,92.99771118164062,94.26497110714074,92.12037281027784,92.948967268735,694616,92.948967268735
2015-01-09,94.94734191894531,96.70201109905055,93.33888959255822,94.26496437339628,1567745,94.26496437339628
2015-01-12,96.45829772949219,97.2381555862976,94.55740442978312,95.53222303215202,1347965,95.53222303215202
2015-01-13,95.62971496582031,98.4079468309831,94.8011205410913,98.4079468309831,906962,98.4079468309831
2015-01-14,95.8246841430664,96.26334959669764,94.3624560479267,95.53223554912779,505535,95.53223554912779
2015-01-15,97.62809753417969,100.55255373128576,96.60453489028188,100.357585522446,1029178,100.357585522446
2015-01-16,96.26335144042969,97.9692842507664,94.65489901751397,97.9692842507664,724201,97.9692842507664
2015-01-19,96.11712646484375,96.99446482001787,95.62971709388889,96.36083115032119,785817,96.36083115032119
2015-01-20,98.70040130615234,99.1390667814911,95.58098419039959,96.26335436032143,2058376,96.26335436032143
2015-01-21,100.9424819946289,101.77107642380092,98.21298658847526,99.38276608409731,1104492,99.38276608409731
2015-01-22,101.4786148071289,103.33077163521526,99.48024113881327,101.57609517970698,644194,101.57609517970698
2015-01-23,101.28366088867188,102.59966460036622,101.13743660131112,101.81980669262636,890944,101.81980669262636
2015-01-27,99.13905334472656,101.28365882875592,98.35920289012356,100.60128131404274,1122183,100.60128131404274
2015-01-28,99.18780517578125,100.60128935079572,98.6029154287848,98.94410049475968,859357,98.94410049475968
2015-01-29,101.23492431640625,101.33240470261856,98.84662138645936,98.94410177267167,2363366,98.94410177267167
2015-01-30,102.20973205566406,102.35595633788766,98.01801640133517,101.08868914165106,977823,101.08868914165106
