Date,Open,High,Low,Close,Volume,Adj_Close
2015-01-01,185.3475799560547,187.64266243938394,184.27990132851016,187.64266243938394,230491,187.64266243938394
2015-01-02,185.97808837890625,187.9789324919508,184.44803343933341,184.44803343933341,1170068,184.44803343933341
2015-01-05,180.17733764648438,189.10549469581292,179.00037108824316,186.54138568824058,2785715,186.54138568824058
2015-01-06,175.78050231933594,182.497651918986,174.06549660505533,179.89149203480258,2699693,179.89149203480258
2015-01-07,174.8641357421875,176.40260360255198,172.1066636527259,174.52785962144446,3076271,174.52785962144446
2015-01-08,177.11720275878906,179.02558498260092,174.6035313858813,176.54553859037375,2178650,176.54553859037375
2015-01-09,178.41188049316406,180.58087619518724,176.3269604134777,178.22692992276205,1674675,178.22692992276205
2015-01-12,175.00709533691406,179.90832534810886,173.93100364403915,178.2269444207576,1716246,178.2269444207576
2015-01-13,174.78009033203125,177.09199876171078,173.56948564685743,175.2004289411267,1377123,175.2004289411267
2015-01-14,173.888916015625,177.36097782674074,171.5013452502583,174.36811800029443,1767193,174.36811800029443
2015-01-15,186.77674865722656,188.73556821408422,177.8485928065812,177.8485928065812,6809123,177.8485928065812
2015-01-16,195.8982696533203,196.7053349681811,187.13825178062282,187.13825178062282,6657545,187.13825178062282
2015-01-19,192.11512756347656,197.91590945562663,187.83600079587436,196.9238937434707,3690936,196.9238937434707
2015-01-20,189.03823852539062,193.1660407550713,186.5077545837025,190.84573269757448,4134071,190.84573269757448
2015-01-21,186.03689575195312,195.04071193186297,184.45639054604132,191.16512484607503,4073851,191.16512484607503
2015-01-22,188.79441833496094,189.6603339365778,185.3727937341519,187.6426640867262,2308772,187.6426640867262
2015-01-23,184.18739318847656,191.94699456098175,181.2701962619981,190.50100217173534,4504014,190.50100217173534
2015-01-27,185.22988891601562,187.76878553465696,182.6994051251114,183.08611872311266,6903221,183.08611872311266
2015-01-28,194.84742736816406,195.679718101768,184.44806544043945,185.1206177576235,2941577,185.1206177576235
2015-01-29,195.02395629882812,196.57923664845666,190.8373041139711,193.3593881848151,1557536,193.3593881848151
2015-01-30,192.0731201171875,196.53719811015554,190.047050573004,195.71332030095346,2126303,195.71332030095346
